GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CAPUserMgmt Maven Webapp,devops.cap.db,UserDb,0,68,0,0,0,12,0,2,0,2
CAPUserMgmt Maven Webapp,devops.cap.db,CartDb,0,44,0,0,0,9,0,2,0,2
CAPUserMgmt Maven Webapp,devops.cap.service,CartService,0,51,2,10,0,13,2,6,0,2
CAPUserMgmt Maven Webapp,devops.cap.service,UserService,0,124,7,15,0,30,7,8,0,4
CAPUserMgmt Maven Webapp,devops.cap.controllerWithoutDb,UserRegisterController,11,105,5,9,3,27,5,4,0,2
CAPUserMgmt Maven Webapp,devops.cap.controllerWithoutDb,UserPasswordController,0,54,2,2,0,14,2,2,0,2
CAPUserMgmt Maven Webapp,devops.cap.controllerWithoutDb,UserCheckoutController,0,78,1,9,0,21,1,6,0,2
CAPUserMgmt Maven Webapp,devops.cap.controllerWithoutDb,UserLoginController,0,80,3,7,0,21,3,4,0,2
CAPUserMgmt Maven Webapp,devops.cap.model,Cart,0,15,0,0,0,6,0,3,0,3
CAPUserMgmt Maven Webapp,devops.cap.model,User,0,43,0,0,0,18,0,9,0,9
